Model,Strategy,Method,Rank,Feature,Importance
XGBoost,SMOTE,SHAP,1,age,0.6239014863967896
XGBoost,SMOTE,SHAP,2,family_history_diabetes,0.5334593653678894
XGBoost,SMOTE,SHAP,3,ever_told_hypertension,0.4438757300376892
XGBoost,SMOTE,SHAP,4,waist_circumference,0.30160507559776306
XGBoost,SMOTE,SHAP,5,ever_told_high_cholesterol,0.28387776017189026
XGBoost,SMOTE,SHAP,6,self_rated_health,0.22832603752613068
XGBoost,SMOTE,SHAP,7,hdl_cholesterol_mg_dl,0.22355125844478607
XGBoost,SMOTE,SHAP,8,race_ethnicity_4.0,0.2137606292963028
XGBoost,SMOTE,SHAP,9,total_cholesterol_mg_dl,0.19853290915489197
XGBoost,SMOTE,SHAP,10,race_ethnicity_6.0,0.1909378170967102
XGBoost,SMOTE,SHAP,11,total_sugar_g,0.19054105877876282
XGBoost,SMOTE,SHAP,12,mean_systolic_bp,0.16316980123519897
XGBoost,SMOTE,SHAP,13,bmi,0.14911338686943054
XGBoost,SMOTE,SHAP,14,healthcare_visits_past_12_months,0.14557932317256927
XGBoost,SMOTE,SHAP,15,mean_diastolic_bp,0.13048312067985535
XGBoost,SMOTE,SHAP,16,sex,0.10144267976284027
XGBoost,SMOTE,SHAP,17,education_level,0.10130253434181213
XGBoost,SMOTE,SHAP,18,fiber_g,0.09859486669301987
XGBoost,SMOTE,SHAP,19,race_ethnicity_3.0,0.09817752987146378
XGBoost,SMOTE,SHAP,20,income_poverty_ratio,0.08207937330007553
XGBoost,SMOTE,SHAP,21,vigorous_recreational_activity,0.07962832599878311
XGBoost,SMOTE,SHAP,22,ever_smoked_100_cigarettes,0.07442259788513184
XGBoost,SMOTE,SHAP,23,trouble_sleeping_reported_to_doctor,0.07115623354911804
XGBoost,SMOTE,SHAP,24,race_ethnicity_2.0,0.0583629310131073
XGBoost,SMOTE,SHAP,25,moderate_work_activity,0.05120179429650307
XGBoost,SMOTE,SHAP,26,total_fat_g,0.049865689128637314
XGBoost,SMOTE,SHAP,27,sedentary_minutes_per_day,0.04776296019554138
XGBoost,SMOTE,SHAP,28,moderate_recreational_activity,0.04718472436070442
XGBoost,SMOTE,SHAP,29,energy_kcal,0.04705674946308136
XGBoost,SMOTE,SHAP,30,sleep_hours,0.04432384669780731
XGBoost,SMOTE,SHAP,31,cholesterol_mg,0.036904703825712204
XGBoost,SMOTE,SHAP,32,carbohydrate_g,0.031120596453547478
XGBoost,SMOTE,SHAP,33,physical_activity_moderate_equivalent_min_week,0.030034692957997322
XGBoost,SMOTE,SHAP,34,phq9_score,0.029461288824677467
XGBoost,SMOTE,SHAP,35,ever_almost_daily_heavy_drinking,0.022054467350244522
XGBoost,SMOTE,SHAP,36,usual_place_for_healthcare,0.021021807566285133
XGBoost,SMOTE,SHAP,37,protein_g,0.02098540961742401
XGBoost,SMOTE,SHAP,38,has_health_insurance,0.01788773387670517
XGBoost,SMOTE,SHAP,39,walk_or_bicycle_transport,0.016357438638806343
